"OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","Taxon","Taxon.Level","Trophic.Mode","Guild","Confidence.Ranking","Growth.Morphology","Trait","Notes","Citation.Source"
"OTU3427","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3434","Fungi","Ascomycota","Sordariomycetes","Glomerellales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3480","Fungi","Mucoromycota","Endogonomycetes","Endogonales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3521","Viridiplantae","Anthophyta","Eudicotyledonae","Fabales","Fabaceae",NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3563","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3594","Fungi","Blastocladiomycota","Blastocladiomycetes","Blastocladiales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3605","Fungi","Aphelidiomycota","Aphelidiomycetes",NA,NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3632","Fungi","Basidiomycota","Agaricomycetes","Boletales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3082","Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium","Olpidium brassicae","Olpidiaceae","9","Pathotroph","Animal Parasite-Fungal Parasite","Probable","NULL","NULL","Parasitic on algae, fungi, mosses, pollen grains and vegetative tissues of flowering and crop plants","Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology: Basic Concepts, New India Publishing, New Delhi"
"OTU3183","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA,"Tremellales","7","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","Possible","Tremelloid-Yeast","NULL","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
"OTU3194","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU3330","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae",NA,NA,"Agaricaceae","9","Saprotroph","Undefined Saprotroph","Probable","Agaricoid-Gasteroid-Secotioid","NULL","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"OTU3385","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"OTU3487","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Saturnispora",NA,"Saccharomycetales","7","Saprotroph","Undefined Saprotroph","Possible","Yeast","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
"OTU3542","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA,"Mortierellaceae","9","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Possible","Microfungus","NULL","Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074"
"OTU3557","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA,"Agaricales","7","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph","Possible","Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast","NULL","Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford"
"OTU3000","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3009","Fungi","Rozellomycota",NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3113","Fungi","Ascomycota","Sordariomycetes","Xylariales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3116","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3126","Fungi","Chytridiomycota","Lobulomycetes","Lobulomycetales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
"OTU3171","Fungi","Kickxellomycota","Kickxellomycetes","Kickxellales",NA,NA,NA,"-","-","-","-","-","-","-","Unassigned","-"
