"OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU86","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta",NA
"OTU87","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU88","Fungi","Ascomycota","Sordariomycetes","Sordariales","Madurella",NA,NA
"OTU89","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Petriella",NA
"OTU90","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU91","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA
"OTU92","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Paracremonium",NA
"OTU93","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella ambigua"
"OTU94","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU95","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","Cordyceps memorabilis"
"OTU97","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU98","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium","Schizothecium inaequale"
"OTU99","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia pullulans"
"OTU100","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU101","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU102","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Bisporella","Bisporella citrina"
"OTU103","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus",NA
"OTU104","Fungi","Ascomycota","Sordariomycetes","Microascales","Cephalotrichiella","Cephalotrichiella penicillata",NA
"OTU105","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora",NA
"OTU106","Fungi",NA,NA,NA,NA,NA,NA
"OTU107","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe",NA
